,index,Rating,Archive Warnings,Category,Fandom,Characters,Relationships,Additional Tags,Language,Date Published,Date Updated,Word Count,Chapter Count,Comment Count,Kudos Count,Bookmarks Count,Hits Count
0,1,Teen And Up Audiences,No Archive Warnings Apply,Gen,Candela Obscura (Critical Role Web Series),"['Malcolm Trills', 'Leo Amicus', 'Grimoria (Candela Obscura)', 'Edgar Lycoris']",Leo Amicus & Malcolm Trills,Team as Family,English,2024-03-07 00:00:00,2024-03-07 00:00:00,2506,1/1,8,61,4,371
0,1,Teen And Up Audiences,No Archive Warnings Apply,Gen,Candela Obscura (Critical Role Web Series),"['Malcolm Trills', 'Leo Amicus', 'Grimoria (Candela Obscura)', 'Edgar Lycoris']",Leo Amicus & Malcolm Trills,Team Dynamics,English,2024-03-07 00:00:00,2024-03-07 00:00:00,2506,1/1,8,61,4,371
0,1,Teen And Up Audiences,No Archive Warnings Apply,Gen,Candela Obscura (Critical Role Web Series),"['Malcolm Trills', 'Leo Amicus', 'Grimoria (Candela Obscura)', 'Edgar Lycoris']",Leo Amicus & Malcolm Trills,Affectionate Insults,English,2024-03-07 00:00:00,2024-03-07 00:00:00,2506,1/1,8,61,4,371
0,1,Teen And Up Audiences,No Archive Warnings Apply,Gen,Candela Obscura (Critical Role Web Series),"['Malcolm Trills', 'Leo Amicus', 'Grimoria (Candela Obscura)', 'Edgar Lycoris']",Leo Amicus & Malcolm Trills,Veterans,English,2024-03-07 00:00:00,2024-03-07 00:00:00,2506,1/1,8,61,4,371
0,1,Teen And Up Audiences,No Archive Warnings Apply,Gen,Candela Obscura (Critical Role Web Series),"['Malcolm Trills', 'Leo Amicus', 'Grimoria (Candela Obscura)', 'Edgar Lycoris']",Leo Amicus & Malcolm Trills,Pre-Canon,English,2024-03-07 00:00:00,2024-03-07 00:00:00,2506,1/1,8,61,4,371
0,1,Teen And Up Audiences,No Archive Warnings Apply,Gen,Candela Obscura (Critical Role Web Series),"['Malcolm Trills', 'Leo Amicus', 'Grimoria (Candela Obscura)', 'Edgar Lycoris']",Leo Amicus & Malcolm Trills,Implied/Referenced Alcohol Abuse/Alcoholism,English,2024-03-07 00:00:00,2024-03-07 00:00:00,2506,1/1,8,61,4,371
0,1,Teen And Up Audiences,No Archive Warnings Apply,Gen,Candela Obscura (Critical Role Web Series),"['Malcolm Trills', 'Leo Amicus', 'Grimoria (Candela Obscura)', 'Edgar Lycoris']",Leo Amicus & Malcolm Trills,Slice of Life,English,2024-03-07 00:00:00,2024-03-07 00:00:00,2506,1/1,8,61,4,371
0,1,Teen And Up Audiences,No Archive Warnings Apply,Gen,Candela Obscura (Critical Role Web Series),"['Malcolm Trills', 'Leo Amicus', 'Grimoria (Candela Obscura)', 'Edgar Lycoris']",Leo Amicus & Malcolm Trills,Dialogue Heavy,English,2024-03-07 00:00:00,2024-03-07 00:00:00,2506,1/1,8,61,4,371
0,1,Teen And Up Audiences,No Archive Warnings Apply,Gen,Candela Obscura (Critical Role Web Series),"['Malcolm Trills', 'Leo Amicus', 'Grimoria (Candela Obscura)', 'Edgar Lycoris']",Leo Amicus & Malcolm Trills,Why Did I Write This?,English,2024-03-07 00:00:00,2024-03-07 00:00:00,2506,1/1,8,61,4,371
1,2,General Audiences,No Archive Warnings Apply,Gen,Candela Obscura (Critical Role Web Series),"['Grimoria', 'Malcolm Trills', 'Decklan Murphy (Mentioned)', 'Leo Amicus (Mentioned)', 'Edgar Lycoris (Mentioned)']",Grimoria & Malcolm Trills,Pre-Canon,English,2024-03-02 00:00:00,2024-03-02 00:00:00,1067,1/1,3,36,1,290
